"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM194906051","collg101","KCM","","2","value","","","","","","","","","","","","","","","","","","","","","","","19490605","1","ARN01","IN9","w","regular",""
"KCM194906080","collg101","KCM","9","1","value","4","4","1","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490608","0","DAV01","IN9","w","regular","y"
"KCM194906210","collg101","KCM","9","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19490621","0","KAN05","MEM","l","regular","y"
"KCM194906261","collg101","KCM","9","1","value","3","3","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490626","1","KAN05","BIR","l","regular","y"
"KCM194906290","collg101","KCM","9","2","value","3","3","0","1","0","0","0","2","0","0","0","0","0","","0","0","0","0","0","","","","19490629","0","GIN01","BIR","l","regular","y"
"CAG194907031","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19490703","1","CHI10","CAG","l","regular",""
"LCB194907102","collg101","KCM","9","1","value","5","5","2","2","0","0","1","2","0","","0","0","","","0","","","","","","","","19490710","2","BCK01","LCB","w","regular","y"
"KCM194907180","collg101","KCM","9","1","value","4","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19490718","0","WYM01","BLG","w","regular","y"
"KCM194907241","collg101","KCM","9","2","value","1","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","1","","19490724","1","KAN05","CAG","l","regular","y"
"KCM194907242","collg101","KCM","9","1","value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19490724","2","KAN05","CAG","l","regular","y"
"KCM194907250","collg101","KCM","","1","value","","","","","","","","","","","","","","","","","","","","","","","19490725","0","PTK01","CAG","w","regular",""
"KCM194908072","collg101","KCM","9","1","value","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490807","2","KAN05","HOE","l","regular","y"
"KCM194908110","collg101","KCM","7","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490811","0","OMA02","HOE","l","regular","y"
"BIR194908212","collg101","KCM","","","value","","","1","1","","","","","","","","","","","1","","","","","","","","19490821","2","BIR01","BIR","w","regular",""
"BIR194908212","collg101","KCM","","","lower","1","1","1","1","","","","","","","","","","","0","","","","","","","","19490821","2","BIR01","BIR","w","regular",""
"BLG194908281","collg101","KCM","5","1","value","4","4","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490828","1","BAL14","BLG","l","regular","y"
"KCM194909052","collg101","KCM","5","1","value","3","2","0","0","0","0","0","0","0","0","0","1","0","","0","0","0","0","0","","","","19490905","2","KAN05","NY6","l","regular","y"
"KCM194909150","collg101","KCM","3","1","value","5","5","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490915","0","KEA01","IN9","l","exhibition","y"
"KCM194909182","collg101","KCM","4","2","value","1","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490918","2","KAN05","IN9","w","exhibition","y"
