"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLG194409171","harvb101","BLG","9","3","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440917","1","BAL14","CVB","l","exhibition","y"
"PH5194508180","harvb101","BLG","2","2","value","1","1","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19450818","0","PHI17","PH5","w","regular","y"
"NY5194508200","harvb101","BLG","9","1","value","4","3","1","1","1","0","0","0","0","","0","1","","","0","","","0","","","","","19450820","0","NYC23","NY5","w","regular","y"
"BLG194508310","harvb101","BLG","9","3","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19450831","0","BAL14","NY5","l","regular","y"
"HOM194509031","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19450903","1","WAS09","HOM","l","regular",""
"HOM194509032","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19450903","2","WAS09","HOM","l","regular",""
"BLG194509040","harvb101","BLG","8","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19450904","0","BAL14","NY6","w","regular","y"
"NW2194509091","harvb101","BLG","9","2","value","2","1","1","1","0","0","0","","0","","0","1","","","0","","","0","","","","","19450909","1","NWK04","NW2","l","regular","y"
"PH5194509270","harvb101","BLG","7","1","value","5","3","2","1","0","0","0","0","0","","0","2","","","0","","","0","","","","","19450927","0","WIL04","PH5","w","exhibition","y"
"NW2194509301","harvb101","BLG","","","value","","","0","0","","","","0","","","","","","","","","","","","","","","19450930","1","NYC14","NW2","l","exhibition",""
"BLG194605052","harvb101","BLG","8","2","value","1","1","0","0","0","0","0","","0","","0","0","0","0","0","","","0","","","","","19460505","2","BAL14","HOM","w","regular","y"
"BLG194605130","harvb101","BLG","9","1","value","1","1","0","1","1","0","0","1","0","","0","0","0","","0","","","0","","","","","19460513","0","YOR02","NY6","l","regular","y"
"NY5194605262","harvb101","NY5","3","1","value","4","4","1","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19460526","2","NYC16","NW2","w","regular","y"
"NW2194607100","harvb101","NY5","9","3","value","1","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","","19460710","0","NWK04","NW2","l","regular","y"
