"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BIR194609292","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19460929","2","BIR01","MEM","T","exhibition",""
"BIR194609292","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19460929","2","BIR01","MEM","T","exhibition",""
"KCM194704110","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470411","0","WAC01","KCM","W","exhibition",""
"KCM194704110","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470411","0","WAC01","KCM","W","exhibition",""
"KCM194704110","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470411","0","WAC01","KCM","W","exhibition",""
"BIR194705100","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470510","0","BIR01","KCM","W","regular",""
"BIR194705100","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470510","0","BIR01","KCM","W","regular",""
"BIR194705100","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470510","0","BIR01","KCM","W","regular",""
"CAG194706260","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470626","0","CHI10","CAG","W","regular",""
"CAG194706260","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470626","0","CHI10","CAG","W","regular",""
"CAG194706260","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470626","0","CHI10","CAG","W","regular",""
"BIR194706291","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470629","1","BIR01","CVB","W","regular",""
"BIR194706291","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470629","1","BIR01","CVB","W","regular",""
"BIR194706291","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470629","1","BIR01","CVB","W","regular",""
"BIR194707080","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470708","0","BIR01","NY6","W","exhibition",""
"BIR194707080","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470708","0","BIR01","NY6","W","exhibition",""
"BIR194707080","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470708","0","BIR01","NY6","W","exhibition",""
"KCM194707132","poweb103","BIR","9","1","value","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19470713","2","KAN05","KCM","W","regular","y"
"KCM194707132","poweb103","BIR","9","1","lower","1","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19470713","2","KAN05","KCM","W","regular","y"
"KCM194707132","poweb103","BIR","9","1","upper","1","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19470713","2","KAN05","KCM","W","regular","y"
"NW2194707180","poweb103","BIR","9","1","value","3","1","0","","","","","","","","1","","","","","","","","","","19470718","0","NWK04","NW2","W","exhibition","y"
"NW2194707180","poweb103","BIR","9","1","lower","3","1","0","","","","","","","","","","","","","","","","","","19470718","0","NWK04","NW2","W","exhibition","y"
"NW2194707180","poweb103","BIR","9","1","upper","3","1","0","","","","","","","","","","","","","","","","","","19470718","0","NWK04","NW2","W","exhibition","y"
"NY6194707280","poweb103","BIR","9","1","value","3","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","19470728","0","YOR02","NY6","W","exhibition","y"
"NY6194707280","poweb103","BIR","9","1","lower","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470728","0","YOR02","NY6","W","exhibition","y"
"NY6194707280","poweb103","BIR","9","1","upper","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470728","0","YOR02","NY6","W","exhibition","y"
"NW2194707300","poweb103","BIR","8","2","value","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","1","19470730","0","WIL04","NW2","L","exhibition","y"
"NW2194707300","poweb103","BIR","8","2","lower","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470730","0","WIL04","NW2","L","exhibition","y"
"NW2194707300","poweb103","BIR","8","2","upper","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470730","0","WIL04","NW2","L","exhibition","y"
"BIR194708031","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470803","1","BIR01","IN9","W","regular",""
"BIR194708031","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470803","1","BIR01","IN9","W","regular",""
"BIR194708031","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470803","1","BIR01","IN9","W","regular",""
"MEM194708171","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470817","1","MEM02","MEM","W","regular",""
"MEM194708171","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470817","1","MEM02","MEM","W","regular",""
"MEM194708171","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470817","1","MEM02","MEM","W","regular",""
"MEM194709040","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470904","0","MEM02","MEM","W","regular",""
"MEM194709040","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470904","0","MEM02","MEM","W","regular",""
"MEM194709040","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470904","0","MEM02","MEM","W","regular",""
"BIR194709100","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470910","0","IND10","HOM","L","exhibition",""
"BIR194709100","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470910","0","IND10","HOM","L","exhibition",""
"BIR194709100","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470910","0","IND10","HOM","L","exhibition",""
"CAG194709142","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19470914","2","CHI10","CAG","W","regular",""
"CAG194709142","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19470914","2","CHI10","CAG","W","regular",""
"CAG194709142","poweb103","BIR","","","upper","","","","","","","","","","","","","","","","","","","","","19470914","2","CHI10","CAG","W","regular",""
"BIR194804181","poweb103","BIR","9","1","value","4","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","19480418","1","BIR01","IN9","W","exhibition","y"
"BIR194804181","poweb103","BIR","9","1","lower","4","1","1","0","0","0","","0","","0","","","","0","","","0","","","","19480418","1","BIR01","IN9","W","exhibition","y"
"BIR194804181","poweb103","BIR","9","1","upper","4","1","1","0","0","0","","0","","0","","","","0","","","0","","","","19480418","1","BIR01","IN9","W","exhibition","y"
"MEM194804251","poweb103","BIR","","","value","","","","","","","","","","","","","","","","","","","","","19480425","1","MEM02","MEM","W","exhibition",""
"MEM194804251","poweb103","BIR","","","lower","","","","","","","","","","","","","","","","","","","","","19480425","1","MEM02","MEM","W","exhibition",""
