"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"HOM194506101","jackj104","HOM","1","4","value","27","","","1","1","0","","","","","1","19450610","1","WAS09","NW2","w","regular","y"
"HOM194506140","jackj104","HOM","1","4","value","27","","","0","0","0","","","","","1","19450614","0","WAS09","PH5","l","regular","y"
"BLG194506150","jackj104","HOM","1","4","value","30","","","0","","0","0","","","","1","19450615","0","BAL14","BLG","t","regular",""
"PH5194506160","jackj104","HOM","1","4","value","27","0","3","0","0","0","","","","","1","19450616","0","PHI17","PH5","w","regular","y"
"BLG194506220","jackj104","HOM","1","4","value","15","","","0","0","0","","","","","1","19450622","0","BAL14","BLG","w","regular","y"
"HOM194506230","jackj104","HOM","1","4","value","27","1","1","0","0","0","","","","","1","19450623","0","WIL04","KCM","w","exhibition","y"
"HOM194506241","jackj104","HOM","1","4","value","","","","0","0","0","","","","","1","19450624","1","WAS09","KCM","w","exhibition","y"
"HOM194506241","jackj104","HOM","2","6","value","","","","0","0","0","","","","","1","19450624","1","WAS09","KCM","w","exhibition","y"
"HOM194506260","jackj104","HOM","1","6","value","27","3","0","0","0","0","","","","","1","19450626","0","PIT06","KCM","l","exhibition","y"
"PH5194506300","jackj104","HOM","1","6","value","27","3","4","0","0","0","","","","","1","19450630","0","PHI17","PH5","w","regular","y"
"HOM194507011","jackj104","HOM","1","4","value","27","","","0","0","0","","","","","1","19450701","1","WAS09","BLG","w","regular","y"
"HOM194507041","jackj104","HOM","1","6","value","27","0","4","0","0","0","","","","","1","19450704","1","PIT06","NY6","l","regular","y"
"HOM194507081","jackj104","HOM","1","4","value","27","3","1","0","0","0","","","","","1","19450708","1","WAS09","PH5","w","regular","y"
"HOM194507100","jackj104","HOM","1","4","value","27","2","3","0","0","0","","","","","1","19450710","0","PIT06","NY5","w","regular","y"
"HOM194507120","jackj104","HOM","1","4","value","27","2","5","1","3","0","","","","","1","19450712","0","HRB01","NY5","w","regular","y"
"BLG194507200","jackj104","HOM","1","4","value","28","","","0","0","0","","","","","1","19450720","0","BAL14","BLG","l","regular","y"
"HOM194507210","jackj104","HOM","1","4","value","27","2","4","1","1","0","","","","","1","19450721","0","HRB01","BLG","w","regular","y"
"NY6194507230","jackj104","HOM","1","4","value","27","2","3","0","0","0","","","","","1","19450723","0","NYC23","NY6","w","regular","y"
"HOM194507240","jackj104","HOM","1","4","value","","5","1","1","0","0","","","","","1","19450724","0","WIL04","BLG","w","regular","y"
"HOM194507251","jackj104","HOM","1","4","value","","0","0","0","0","0","","","","","1","19450725","1","PHI11","BLG","l","regular","y"
"HOM194507260","jackj104","HOM","1","4","value","27","0","3","0","0","0","","","","","1","19450726","0","WAS09","PH5","l","regular","y"
"HOM194508071","jackj104","HOM","1","4","value","27","2","5","0","0","0","","","","","1","19450807","1","PHI11","KCM","w","exhibition","y"
"HOM194508082","jackj104","HOM","1","4","value","24","","","0","1","0","","","","","1","19450808","2","PIT06","KCM","l","exhibition","y"
"BLG194508100","jackj104","HOM","1","4","value","18","","","0","0","0","","","","","1","19450810","0","BAL14","BLG","l","regular","y"
"PH5194508110","jackj104","HOM","1","4","value","24","1","0","2","0","0","","","","","1","19450811","0","PHI17","PH5","l","regular","y"
"HOM194508122","jackj104","HOM","1","4","value","","","","0","0","0","","","","","","19450812","2","WAS09","CAG","w","exhibition","y"
"HOM194508130","jackj104","HOM","1","4","value","24","3","4","0","0","0","","","","","1","19450813","0","ALT01","CAG","w","exhibition","y"
"HOM194508162","jackj104","HOM","1","4","value","27","","","0","0","0","","","","","1","19450816","2","WAS09","KCM","t","exhibition","y"
"HOM194508200","jackj104","HOM","1","4","value","27","1","5","0","1","0","","","","","1","19450820","0","HRB01","NY6","l","regular","y"
"HOM194508261","jackj104","HOM","1","4","value","30","","","0","0","0","","","","","1","19450826","1","WAS09","NW2","w","regular","y"
"HOM194508262","jackj104","HOM","1","4","value","21","","","0","0","0","","","","","1","19450826","2","WAS09","NW2","w","regular","y"
"HOM194508280","jackj104","HOM","1","4","value","27","2","0","0","0","0","","","","","1","19450828","0","WIL04","NY6","l","regular","y"
"NY6194508290","jackj104","HOM","1","4","value","27","2","4","0","0","0","","","","","1","19450829","0","NYC14","NY6","w","regular","y"
"CVB194509130","jackj104","HOM","1","4","value","21","1","3","0","0","0","","","","","1","19450913","0","CLE07","CVB","l","championship","y"
"CVB194509140","jackj104","HOM","1","4","value","27","0","2","0","0","0","","","","","1","19450914","0","DAY03","CVB","w","exhibition","y"
"CVB194509160","jackj104","HOM","1","4","value","24","3","3","1","0","0","","","","","1","19450916","0","CLE06","CVB","l","championship","y"
"NY6194509190","jackj104","HOM","1","4","value","6","0","0","0","0","0","","","","","","19450919","0","NYC14","NY6","l","exhibition","y"
"HOM194509201","jackj104","HOM","1","4","value","6","0","2","0","0","0","","","","","0","19450920","1","PHI11","CVB","l","championship","y"
