"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"NW2194509161","partr102","PH5","1","value","30","","41","6","0","1","0","2","2","4","","2","0","0","0","0","","","","","1","","","1","","1","19450916","1","NYC14","NW2","w","exhibition","y"
"PH5194509202","partr102","PH5","1","value","27","","35","5","3","0","0","4","","3","","6","0","0","0","1","","","","","","1","","1","","1","19450920","2","PHI11","CVB","l","exhibition","y"
"CDA194510071","partr102","NNS","2","value","13","2","16","1","0","0","0","2","2","2","0","4","1","0","0","0","0","1","0","0","","","","","","","19451007","1","NYC15","CDA","l","exhibition","y"
"NY6194604211","partr102","PH5","2","value","6","","11","3","0","0","1","1","","3","0","0","0","0","0","","0","","","","","","","","","","19460421","1","NYC14","NY6","l","exhibition","y"
"MEM194704271","partr102","PH5","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19470427","1","MEM02","MEM","w","exhibition",""
"BLG194705041","partr102","PH5","1","value","27","","33","6","1","0","0","1","","1","","3","0","0","0","0","","","","","1","","","1","","1","19470504","1","BAL14","BLG","w","regular","y"
"PH5194705200","partr102","PH5","1","value","18","","22","3","0","0","0","1","","1","0","6","0","0","0","","0","","","","1","","","1","","","19470520","0","WIL04","NY5","w","regular","y"
"PH5194705262","partr102","PH5","1","value","36","","45","7","2","0","0","2","","5","","7","0","0","0","0","","","","","","","","1","","1","19470526","2","PHI11","NY5","t","regular","y"
"PH5194705302","partr102","PH5","2","value","","","","","","","","","","","","","","","","","","","","","","","","","","","19470530","2","PHI17","NY6","l","regular",""
"HOM194706012","partr102","PH5","1","value","18","1","29","10","0","0","0","2","","3","0","4","0","0","0","","0","","","","1","","","1","","","19470601","2","WAS09","HOM","w","regular","y"
"PH5194706151","partr102","PH5","1","value","27","","37","9","1","0","0","5","","1","","8","0","0","0","0","","","","","","1","","1","","1","19470615","1","WIL04","HOM","l","regular","y"
"PH5194706190","partr102","PH5","1","value","30","","47","11","","","","9","","","","","","","","","","","","","","1","","1","","1","19470619","0","PHI17","NY6","l","regular","y"
"PH5194706232","partr102","PH5","1","value","6","","12","6","","","","3","","","","","","","","","","","","","","1","","1","","","19470623","2","PHI11","BLG","l","regular","y"
"HOM194706270","partr102","PH5","1","value","24","","","8","","","","8","","","","","","","","","","","","","","1","","1","","1","19470627","0","PIT06","HOM","l","regular",""
"HOM194706270","partr102","PH5","1","lower","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","19470627","0","PIT06","HOM","l","regular",""
"NW2194707010","partr102","PH5","2","value","2","","3","1","0","0","0","0","0","0","0","","0","0","0","","0","","","","","","","","1","","19470701","0","TRE01","NW2","l","regular","y"
"PH5194707020","partr102","PH5","2","value","6","","11","5","0","0","0","3","","0","0","3","0","0","0","","0","","","","1","","","","1","","19470702","0","WIL04","NW2","w","regular","y"
"PH5194707070","partr102","PH5","1","value","12","","23","10","0","0","1","4","2","0","0","3","0","0","0","","0","","","","","1","","1","","","19470707","0","PHI11","KCM","l","exhibition","y"
"PH5194707120","partr102","PH5","1","value","27","","37","10","0","0","0","5","5","","","","0","0","0","0","","","","","","1","","1","","1","19470712","0","PHI17","BLG","l","regular","y"
"PH5194707212","partr102","PH5","2","value","3","","4","1","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","","1","","1","","19470721","2","PHI11","BIR","w","exhibition","y"
"BLG194708050","partr102","PH5","1","value","24","","42","12","3","0","1","10","","2","","5","0","0","0","0","","","","","","1","","1","","1","19470805","0","BAL14","BLG","l","regular","y"
"NW2194708101","partr102","PH5","2","value","3","","6","4","","","0","2","2","0","0","","0","","","0","","","","","","","","","1","","19470810","1","NWK04","NW2","w","regular","y"
"PH5194708262","partr102","PH5","1","value","25","","36","9","0","0","0","2","","1","0","","0","0","0","","0","","","","1","","","1","","","19470826","2","PHI11","IN9","w","exhibition","y"
"HOM194708310","partr102","PH5","1","value","24","","41","11","1","1","0","9","","5","","5","0","0","0","1","","","","","","1","","1","","1","19470831","0","WAS09","HOM","l","regular","y"
"NY5194805022","partr102","PH5","1","value","27","0","37","6","0","0","0","2","2","1","0","2","0","0","0","0","0","1","0","0","1","","","1","","1","19480502","2","NYC16","NY5","w","regular","y"
"PH5194805100","partr102","PH5","1","value","27","","41","13","","","0","4","","0","","3","0","0","0","1","","","","","1","","","1","","1","19480510","0","CHE01","BLG","w","regular","y"
"PH5194805220","partr102","PH5","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19480522","0","PHI11","HOM","w","regular",""
"NW2194805312","partr102","PH5","1","value","10","0","19","6","2","0","0","6","6","4","0","0","0","0","0","0","0","0","1","0","1","","","1","","","19480531","2","NWK04","NW2","w","regular","y"
"HOM194806202","partr102","PH5","1","value","10","","18","8","","","0","2","","1","","2","0","0","0","0","","","","","","","","1","","","19480620","2","WAS09","HOM","w","regular","y"
"NW2194806270","partr102","PH5","1","value","24","0","32","8","2","0","1","4","4","2","0","0","0","0","0","0","0","0","0","0","","1","","1","","1","19480627","0","NWK04","NW2","l","regular","y"
"PH5194807030","partr102","PH5","1","value","24","1","33","10","1","0","0","4","4","2","0","3","0","0","0","2","0","0","1","0","","","","1","","","19480703","0","WIL04","BLG","l","regular","y"
"NY5194807051","partr102","PH5","3","value","11","","","","","","","2","","","","","","","","","","","","","","1","","","1","","19480705","1","NYC16","NY5","l","regular",""
"NY6194807110","partr102","PH5","1","value","12","0","20","7","1","1","0","3","2","0","0","0","1","0","0","0","0","0","0","0","","","","1","","","19480711","0","NYC16","NY6","w","regular","y"
"NW2194807150","partr102","PH5","1","value","27","","","","","","","5","","","","","","","","","","","","","1","","","1","","1","19480715","0","TRE01","NW2","w","regular",""
"PH5194807262","partr102","PH5","1","value","12","","17","5","","","0","2","","1","","4","0","0","0","0","","","","","","1","","1","","","19480726","2","PHI11","BLG","l","regular","y"
"PH5194808160","partr102","PH5","2","value","18","","22","6","","","","3","","","","","","","","","","","","","","","","","1","","19480816","0","PHI11","NW2","l","regular","y"
"BLG194809051","partr102","PH5","1","value","29","0","40","8","1","0","1","3","3","4","0","3","0","1","0","2","0","0","0","0","","1","","1","","1","19480905","1","BAL14","BLG","l","regular","y"
