"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLG194005122","harrc104","PH5","7","1","value","3","0","2","0","0","0","","0","","0","0","0","","0","","","0","","","","19400512","2","BAL09","BLG","L","regular","y"
"BLG194005122","harrc104","PH5","7","1","lower","3","0","2","0","0","0","","0","","0","","","","0","","","0","","","","19400512","2","BAL09","BLG","L","regular","y"
"BLG194005122","harrc104","PH5","7","1","upper","3","0","2","0","0","0","","0","","0","","","","0","","","0","","","","19400512","2","BAL09","BLG","L","regular","y"
"PH5194005181","harrc104","PH5","7","1","value","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","19400518","1","PHI17","NW2","W","regular","y"
"PH5194005181","harrc104","PH5","7","1","lower","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","19400518","1","PHI17","NW2","W","regular","y"
"PH5194005181","harrc104","PH5","7","1","upper","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","19400518","1","PHI17","NW2","W","regular","y"
"NW2194005191","harrc104","PH5","6","2","value","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","1","","19400519","1","NWK04","NW2","L","regular","y"
"NW2194005191","harrc104","PH5","6","2","lower","1","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400519","1","NWK04","NW2","L","regular","y"
"NW2194005191","harrc104","PH5","6","2","upper","1","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19400519","1","NWK04","NW2","L","regular","y"
"PH5194005301","harrc104","PH5","8","1","value","2","0","1","0","0","0","1","0","1","0","0","0","","0","","","0","","","","19400530","1","PHI17","NY6","W","regular","y"
"PH5194005301","harrc104","PH5","8","1","lower","","0","1","0","0","0","1","0","1","0","","","","0","","","0","","","","19400530","1","PHI17","NY6","W","regular","y"
"PH5194005301","harrc104","PH5","8","1","upper","","0","1","0","0","0","1","0","1","0","","","","0","","","0","","","","19400530","1","PHI17","NY6","W","regular","y"
"PH5194005302","harrc104","PH5","7","1","value","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19400530","2","PHI17","NY6","L","regular","y"
"PH5194005302","harrc104","PH5","7","1","lower","","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400530","2","PHI17","NY6","L","regular","y"
"PH5194005302","harrc104","PH5","7","1","upper","","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19400530","2","PHI17","NY6","L","regular","y"
