"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"NY6194108242","PH5","0","0","0","1","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","3","lower","30","3","6","1","0","0","3","0","","0","1","","","3","","","0","26","","32","7","1","1","0","4","1","3","","1","0","2","0","1","","26","16","3","0","0","2","campd103","jordl101","coopb101","parnr102","westj102","hendc102","owens102","duckm101","mcheh101","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","hendc102","owens102","parnr102","","19410824","2","NYC16","NY6","L","regular","y","1941"
"NY6194108242","PH5","0","0","0","1","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","3","upper","30","3","6","1","0","0","3","2","","0","1","","","3","","","0","26","","36","7","1","1","0","4","1","3","","1","0","2","0","1","","26","16","3","0","0","2","campd103","jordl101","coopb101","parnr102","westj102","hendc102","owens102","duckm101","mcheh101","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","hendc102","owens102","parnr102","","19410824","2","NYC16","NY6","L","regular","y","1941"
"PH5194108280","PH5","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","value","","1","","","","","1","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","coopb101","parnr102","","","","","","mcheh101","coopb101","","","","","","","","","19410828","0","PHI17","CAG","L","exhibition","","1941"
"PH5194108280","PH5","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","lower","","1","","","","","1","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","coopb101","parnr102","","","","","","mcheh101","coopb101","","","","","","","","","19410828","0","PHI17","CAG","L","exhibition","","1941"
"PH5194108280","PH5","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","upper","","1","","","","","1","","","","","","","","","","","27","","","","","","","7","","","","","","","","","","27","","0","","0","","","","coopb101","parnr102","","","","","","mcheh101","coopb101","","","","","","","","","19410828","0","PHI17","CAG","L","exhibition","","1941"
"PH5194108300","PH5","0","0","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","value","","2","3","","","","","","","","","","","","","","","27","","","12","","","","8","","","","","","","","","","27","","2","","0","","","","","","","","","","","walke103","coopb101","","","","","","","","","19410830","0","PHI17","BLG","L","regular","","1941"
"PH5194108300","PH5","0","0","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","lower","","2","3","","","","","","","","","","","","","","","27","","","12","","","","8","","","","","","","","","","27","","2","","0","","","","","","","","","","","walke103","coopb101","","","","","","","","","19410830","0","PHI17","BLG","L","regular","","1941"
"PH5194108300","PH5","0","0","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","upper","","2","3","","","","","","","","","","","","","","","27","","","12","","","","8","","","","","","","","","","27","","2","","0","","","","","","","","","","","walke103","coopb101","","","","","","","","","19410830","0","PHI17","BLG","L","regular","","1941"
"NY5194108311","PH5","0","0","1","0","2","0","3","0","0","","","","","","","","","","","","","","","","","","","","6","value","35","6","10","0","0","0","","0","","0","4","","","0","","","0","27","","36","5","0","0","0","0","0","4","","7","0","0","0","0","","27","13","2","0","0","0","campd103","jordl101","coopb101","parnr102","westj102","hendc102","owens102","duckm101","mcheh101","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","hendc102","owens102","parnr102","","19410831","1","NWK04","NY5","W","regular","y","1941"
"NY5194108311","PH5","0","0","1","0","2","0","3","0","0","","","","","","","","","","","","","","","","","","","","6","lower","35","6","10","0","0","0","","0","","0","","","","0","","","0","27","","32","5","0","0","0","0","0","","","7","0","0","0","0","","27","13","2","0","0","0","campd103","jordl101","coopb101","parnr102","westj102","hendc102","owens102","duckm101","mcheh101","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","hendc102","owens102","parnr102","","19410831","1","NWK04","NY5","W","regular","y","1941"
"NY5194108311","PH5","0","0","1","0","2","0","3","0","0","","","","","","","","","","","","","","","","","","","","6","upper","35","6","10","0","0","0","","0","","0","","","","0","","","0","27","","36","5","0","0","0","0","0","","","7","0","0","0","0","","27","13","2","0","0","0","campd103","jordl101","coopb101","parnr102","westj102","hendc102","owens102","duckm101","mcheh101","mcheh101","coopb101","westj102","jordl101","campd103","duckm101","hendc102","owens102","parnr102","","19410831","1","NWK04","NY5","W","regular","y","1941"
"PH5194109011","PH5","1","0","0","1","0","2","0","0","0","","","","","","","","","","","","","","","","","","","","5","value","36","4","6","","","","","","","","","","","","","","","27","","40","13","","","","7","","","","","","","","","","27","","1","","0","","campd103","jordl101","coopb101","parnr102","westj102","hendc102","owens102","duckm101","gibbj103","gibbj103","coopb101","westj102","jordl101","campd103","duckm101","hendc102","owens102","parnr102","","19410901","1","PHI17","NY6","L","regular","y","1941"
"PH5194109011","PH5","1","0","0","1","0","2","0","0","0","","","","","","","","","","","","","","","","","","","","5","lower","","4","6","","","","","","","","","","","","","","","27","","","13","","","","7","","","","","","","","","","27","","1","","0","","campd103","jordl101","coopb101","parnr102","westj102","hendc102","owens102","duckm101","gibbj103","gibbj103","coopb101","westj102","jordl101","campd103","duckm101","hendc102","owens102","parnr102","","19410901","1","PHI17","NY6","L","regular","y","1941"
"PH5194109011","PH5","1","0","0","1","0","2","0","0","0","","","","","","","","","","","","","","","","","","","","5","upper","","4","6","","","","","","","","","","","","","","","27","","","13","","","","7","","","","","","","","","","27","","1","","0","","campd103","jordl101","coopb101","parnr102","westj102","hendc102","owens102","duckm101","gibbj103","gibbj103","coopb101","westj102","jordl101","campd103","duckm101","hendc102","owens102","parnr102","","19410901","1","PHI17","NY6","L","regular","y","1941"
"PH5194109012","PH5","0","1","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","9","value","39","3","12","","","","","","","","","","","","","","","27","","39","8","","","","10","","","","","","","","","","27","","2","","0","","coopb101","jordl101","hubej101","parnr102","westj102","hendc102","owens102","duckm101","fillj101","fillj101","hubej101","westj102","jordl101","hendc102","duckm101","coopb101","owens102","parnr102","","19410901","2","PHI17","NY6","L","regular","y","1941"
"PH5194109012","PH5","0","1","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","9","lower","","3","12","","","","","","","","","","","","","","","27","","","8","","","","10","","","","","","","","","","27","","2","","0","","coopb101","jordl101","hubej101","parnr102","westj102","hendc102","owens102","duckm101","fillj101","fillj101","hubej101","westj102","jordl101","hendc102","duckm101","coopb101","owens102","parnr102","","19410901","2","PHI17","NY6","L","regular","y","1941"
"PH5194109012","PH5","0","1","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","9","upper","","3","12","","","","","","","","","","","","","","","27","","","8","","","","10","","","","","","","","","","27","","4","","0","","coopb101","jordl101","hubej101","parnr102","westj102","hendc102","owens102","duckm101","fillj101","fillj101","hubej101","westj102","jordl101","hendc102","duckm101","coopb101","owens102","parnr102","","19410901","2","PHI17","NY6","L","regular","y","1941"
"PH5194109071","PH5","2","0","4","0","6","0","","","","","","","","","","","","","","","","","","","","","","","6","value","33","12","12","3","1","0","","0","","0","3","","0","3","","","0","21","","31","7","0","0","1","3","","2","","0","0","0","0","0","","21","8","1","0","0","0","duckm101","hendc102","coopb101","parnr102","westj102","owens102","hubej101","mcheh101","fillj101","fillj101","hubej101","westj102","hendc102","coopb101","duckm101","parnr102","owens102","mcheh101","","19410907","1","WAS09","NY5","W","exhibition","y","1941"
"PH5194109071","PH5","2","0","4","0","6","0","","","","","","","","","","","","","","","","","","","","","","","6","lower","33","12","12","3","1","0","","0","","0","","","0","3","","","0","21","","30","7","0","0","1","3","","2","","0","0","0","0","0","","21","8","1","0","0","0","duckm101","hendc102","coopb101","parnr102","westj102","owens102","hubej101","mcheh101","fillj101","fillj101","hubej101","westj102","hendc102","coopb101","duckm101","parnr102","owens102","mcheh101","","19410907","1","WAS09","NY5","W","exhibition","y","1941"
"PH5194109071","PH5","2","0","4","0","6","0","","","","","","","","","","","","","","","","","","","","","","","6","upper","33","12","12","3","1","0","","0","","0","","","0","3","","","0","21","","31","7","0","0","1","3","","2","","0","0","0","0","0","","21","8","1","0","0","0","duckm101","hendc102","coopb101","parnr102","westj102","owens102","hubej101","mcheh101","fillj101","fillj101","hubej101","westj102","hendc102","coopb101","duckm101","parnr102","owens102","mcheh101","","19410907","1","WAS09","NY5","W","exhibition","y","1941"
"PH5194109072","PH5","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","8","value","28","2","8","0","0","0","","1","","0","2","","","1","","","0","21","","29","5","1","0","0","3","0","1","","2","0","0","0","1","","21","7","2","1","0","0","duckm101","hendc102","coopb101","parnr102","westj102","owens102","hubej101","mcheh101","buchc101","buchc101","hubej101","westj102","hendc102","coopb101","duckm101","parnr102","owens102","mcheh101","","19410907","2","WAS09","NY5","L","exhibition","y","1941"
"PH5194109072","PH5","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","8","lower","28","2","8","0","0","0","","0","","0","","","","1","","","0","21","","27","5","1","0","0","3","0","1","","2","0","0","0","1","","21","7","2","1","0","0","duckm101","hendc102","coopb101","parnr102","westj102","owens102","hubej101","mcheh101","buchc101","buchc101","hubej101","westj102","hendc102","coopb101","duckm101","parnr102","owens102","mcheh101","","19410907","2","WAS09","NY5","L","exhibition","y","1941"
"PH5194109072","PH5","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","8","upper","28","2","8","0","0","0","","1","","0","","","","1","","","0","21","","29","5","1","0","0","3","0","1","","2","0","0","0","1","","21","7","2","1","0","0","duckm101","hendc102","coopb101","parnr102","westj102","owens102","hubej101","mcheh101","buchc101","buchc101","hubej101","westj102","hendc102","coopb101","duckm101","parnr102","owens102","mcheh101","","19410907","2","WAS09","NY5","L","exhibition","y","1941"
