"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"BIR194808221","NY6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","9","","","","","","","","","","","","","","","","27","","","6","","","","0","0","","","16","","","","","","27","","0","","0","","","","","","","","","","","santj103","","","","","","","","","","19480822","1","NOL01","BIR","W","exhibition","","1948"
"BIR194808221","NY6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","upper","","9","","","","","","","","","","","","","","","","27","","","6","","","","0","0","","","16","","","","","","27","","0","","0","","","","","","","","","","","santj103","","","","","","","","","","19480822","1","NOL01","BIR","W","exhibition","","1948"
"BIR194808222","NY6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","4","","","","","","","","","","","","","","","","21","","","","","","","2","","","","","","","","","","21","","0","","0","","","","","","","","","","","loper102","","","","","","","","","","19480822","2","NOL01","BIR","W","exhibition","","1948"
"BIR194808222","NY6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","4","","","","","","","","","","","","","","","","21","","","","","","","2","","","","","","","","","","21","","0","","0","","","","","","","","","","","loper102","","","","","","","","","","19480822","2","NOL01","BIR","W","exhibition","","1948"
"BIR194808222","NY6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","upper","","4","","","","","","","","","","","","","","","","21","","","","","","","2","","","","","","","","","","21","","0","","0","","","","","","","","","","","loper102","","","","","","","","","","19480822","2","NOL01","BIR","W","exhibition","","1948"
"BIR194808240","NY6","","","","","","","4i","","","","","","","","","","","","","","","","","","","","","","","value","","7","16","","","","","","","","","","","","","","","27","","","12","","","","6","","","","","","","","","","27","","3","","0","","","","","","","","","","","clarc103","noblr101","","","","","","","","","19480824","0","GRE01","BIR","W","exhibition","","1948"
"BIR194808240","NY6","","","","","","","4i","","","","","","","","","","","","","","","","","","","","","","","lower","","7","16","","","","","","","","","","","","","","","27","","","12","","","","6","","","","","","","","","","27","","3","","0","","","","","","","","","","","clarc103","noblr101","","","","","","","","","19480824","0","GRE01","BIR","W","exhibition","","1948"
"BIR194808240","NY6","","","","","","","4i","","","","","","","","","","","","","","","","","","","","","","","upper","","7","16","","","","","","","","","","","","","","","27","","","12","","","","6","","","","","","","","","","27","","3","","0","","","","","","","","","","","clarc103","noblr101","","","","","","","","","19480824","0","GRE01","BIR","W","exhibition","","1948"
"BIR194808250","NY6","0","1","0","0","0","0","1","0","2","","","","","","","","","","","","","","","","","","","","","value","","4","8","","","","","","","","","","","","","","","27","","","9","","","","3","","","","","","","","","","27","","2","","0","","","","","","","","","","","jenkp101","noblr101","","","","","","","","","19480825","0","MEM02","BIR","W","exhibition","","1948"
"BIR194808250","NY6","0","1","0","0","0","0","1","0","2","","","","","","","","","","","","","","","","","","","","","lower","","4","8","","","","","","","","","","","","","","","27","","","9","","","","3","","","","","","","","","","27","","2","","0","","","","","","","","","","","jenkp101","noblr101","","","","","","","","","19480825","0","MEM02","BIR","W","exhibition","","1948"
