"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","mgr","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"CAG194307251","KCM","0","1","2","0","0","1","0","1","0","","","","","","","","","","","","","","","","","","","","6","","value","38","35","5","8","4","0","1","","1","","0","2","","6","0","","","0","","24","","40","13","1","1","0","8","","0","0","0","1","0","0","0","0","1","","0","24","","3","0","0","0","0","1","","allen102","soueh101","oneib801","broww101","serrb101","willj111","thomh103","barnh102","walkg103","walkg103","barnh102","oneib801","serrb101","soueh101","willj111","allen102","broww101","thomh103","","19430725","1","CHI10","CAG","l","regular","y","1943"
"CAG194307252","KCM","1","0","1","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","value","","","3","5","","","","3","","1","","","","","","","","","","18","","","6","","","","4","","2","","1","","","","","1","","","","18","","2","","0","","","","","simmw101","soueh101","oneib801","broww101","","","thomh103","hayns101","matcj101","matcj101","hayns101","","","","willj111","simmw101","broww101","","","19430725","2","CHI10","CAG","l","regular","","1943"
"CI2194307310","KCM","0","1","1","2","3","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","value","","","13","17","","","","","","","","","","","","","","","","27","","","17","","","","13","","","","","","","","","","","","","27","","10","","0","","","","","","","","","","","","","","alext101","barnh102","","","","","","","","","19430731","0","IND10","CI2","t","regular","","1943"
"CI2194308011","KCM","1","0","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","","3","7","","","","","","","","","","","","","","","","24","","","9","","","","4","","","","","","","","","","","","","24","","0","","0","","","","","","","","","","","","","","matcj101","barnh102","","","","","","","","","19430801","1","LOU05","CI2","l","exhibition","","1943"
"CI2194308012","KCM","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","value","","","1","5","","","","","","","","","","","","","","","","18","","","11","","","","9","","","","","","","","","","","","","18","","1","","0","","","","","","","","","","","","","","smith111","barnh102","","","","","","","","","19430801","2","LOU05","CI2","l","exhibition","","1943"
"KCM194308020","KCM","0","3","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","value","","","3","7","1","","","3","","","","","","","","","","","","27","","","10","1","","","2","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","mcdab101","","","","","","","","","","19430802","0","DAY03","NY6","w","exhibition","","1943"
"PH5194308040","KCM","2","0","0","0","2","0","1","0","0","","","","","","","","","","","","","","","","","","","","6","","value","38","34","5","7","0","1","1","3","1","0","0","3","0","6","1","","","0","","27","","32","7","0","0","0","1","1","1","0","6","0","0","0","0","0","0","","0","27","9","1","2","0","0","0","0","","willj111","soueh101","smith111","broww101","oneib801","barnh102","allen102","serrb101","mckig101","mckig101","barnh102","oneib801","serrb101","soueh101","willj111","allen102","broww101","smith111","","19430804","0","PHI11","PH5","w","exhibition","y","1943"
"NY6194308082","KCM","0","1","1","0","2","0","0","0","1","","","","","","","","","","","","","","","","","","","","9","","value","41","38","5","12","1","2","0","","0","0","0","3","0","","1","","","0","","24","","36","12","0","0","0","8","7","0","0","","1","0","0","0","0","2","","0","24","8","1","1","0","0","0","2","","willj111","soueh101","serrb101","broww101","barnh102","oneib801","allen102","simmw101","paigs101","paigs101","barnh102","oneib801","serrb101","soueh101","willj111","allen102","broww101","simmw101","","19430808","2","NYC16","NY6","l","exhibition","y","1943"
"HOM194308100","KCM","4","0","4","1","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","9","","value","47","42","11","14","2","0","0","10","2","0","0","3","0","3","0","","","0","","27","","38","8","0","0","0","3","","4","0","6","0","0","0","0","0","0","","0","27","8","3","3","0","0","0","0","","willj111","soueh101","smith111","broww101","oneib801","allen102","barnh102","serrb101","paigs101","paigs101","barnh102","oneib801","serrb101","soueh101","willj111","allen102","broww101","smith111","","19430810","0","WAS09","HOM","w","exhibition","y","1943"
"KCM194308151","KCM","0","0","0","1","0","0","2","3","","","","","","","","","","","","","","","","","","","","","3","","value","33","32","6","9","3","1","0","","0","","0","1","","4","1","","","0","","27","","33","5","0","0","0","1","","2","0","4","0","0","0","0","0","0","","0","27","","0","2","0","0","0","0","","willj111","allen102","soueh101","broww101","serrb101","thomh103","simmw101","barnh102","paigs101","paigs101","barnh102","allen102","serrb101","soueh101","willj111","simmw101","broww101","thomh103","","19430815","1","CHI11","CVB","w","regular","y","1943"
"KCM194308160","KCM","3","1","0","0","5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","value","","","9","14","","","","","","","","","","","","","","","","27","","","11","","","","7","","1","","5","","","","","","","","","27","","2","","0","","","","","","","","","","","","","","paigs101","hayns101","","","","","","","","","19430816","0","MEM03","CI2","w","regular","","1943"
"KCM194308180","KCM","1","0","3","0","1","3","0","0","","","","","","","","","","","","","","","","","","","","","","","value","","","9","14","","","","","","","","","","","","","","","","27","","","6","","","","2","","","","","","","","","","","","","27","","3","","0","","","","","","","","","","","","","","smith111","barnh102","","","","","","","","","19430818","0","NOL01","CI2","w","regular","","1943"
"KCM194308190","KCM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","","11","4","1","2","1","","","","","","","","","","","","","27","","","","","","","5","","","","","","","","","","","","","27","","0","","0","","","","","","","","","","","","","","philn101","barnh102","","","","","","","","","19430819","0","HOU04","CI2","w","regular","","1943"
