"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"CI2194208022","MEM","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","6","lower","36","1","6","0","0","0","1","0","","0","","","","2","","","0","32","","38","6","1","0","0","2","","3","","6","0","0","0","0","1","32","","2","0","0","0","mcdaf101","bankf101","hutcw101","cartm101","taylj106","robin101","browt105","hydec101","mathv101","mathv101","hydec101","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hutcw101","","19420802","2","CIN07","CI2","L","exhibition","y","1942"
"CI2194208022","MEM","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","6","upper","36","1","6","0","0","0","1","2","","0","","","","2","","","0","32","","43","6","1","0","0","2","","3","","6","0","0","0","3","1","32","","2","0","0","0","mcdaf101","bankf101","hutcw101","cartm101","taylj106","robin101","browt105","hydec101","mathv101","mathv101","hydec101","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hutcw101","","19420802","2","CIN07","CI2","L","exhibition","y","1942"
"MEM194208040","MEM","0","0","0","0","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","value","","2","","","","","","","","","","","","","","","","27","","","","","","","3","","","","","","","","","","27","","0","","0","","","","","","","","","","","hutcw101","browl107","","","","","","","","","19420804","0","TOL05","BIR","L","regular","","1942"
"MEM194208040","MEM","0","0","0","0","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","lower","","2","","","","","","","","","","","","","","","","27","","","","","","","3","","","","","","","","","","27","","0","","0","","","","","","","","","","","hutcw101","browl107","","","","","","","","","19420804","0","TOL05","BIR","L","regular","","1942"
"MEM194208040","MEM","0","0","0","0","0","0","2","0","0","","","","","","","","","","","","","","","","","","","","","upper","","2","","","","","","","","","","","","","","","","27","","","","","","","3","","","","","","","","","","27","","0","","0","","","","","","","","","","","hutcw101","browl107","","","","","","","","","19420804","0","TOL05","BIR","L","regular","","1942"
"CCB194208120","MEM","3","3","1","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","7","value","36","8","11","0","0","0","5","1","","1","4","","","3","","","0","27","","35","8","1","1","1","4","","1","","7","0","0","0","0","","27","9","1","0","0","0","bankf101","mcdaf101","hydec101","cartm101","robin101","taylj106","browt105","browl107","hutcw101","hutcw101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420812","0","CAN03","CCB","W","regular","y","1942"
"CCB194208120","MEM","3","3","1","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","7","lower","36","8","11","0","0","0","5","1","","1","","","","3","","","0","27","","34","8","1","1","1","4","","1","","7","0","0","0","0","","27","9","1","0","0","0","bankf101","mcdaf101","hydec101","cartm101","robin101","taylj106","browt105","browl107","hutcw101","hutcw101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420812","0","CAN03","CCB","W","regular","y","1942"
"CCB194208120","MEM","3","3","1","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","7","upper","36","8","11","0","0","0","5","1","","1","","","","3","","","0","27","","35","8","1","1","1","4","","1","","7","0","0","0","0","","27","9","1","0","0","0","bankf101","mcdaf101","hydec101","cartm101","robin101","taylj106","browt105","browl107","hutcw101","hutcw101","browl107","taylj106","bankf101","cartm101","browt105","mcdaf101","robin101","hydec101","","19420812","0","CAN03","CCB","W","regular","y","1942"
"CCB194208140","MEM","3","3","1","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","value","","8","10","","","","","","","","","","","","","","","27","","","8","","","1","4","","","","","","","","","","27","","1","","0","","","","","","","","","","","hutcw101","browl107","","","","","","","","","19420814","0","CAN03","CCB","W","regular","","1942"
"CCB194208140","MEM","3","3","1","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","lower","","8","10","","","","","","","","","","","","","","","27","","","8","","","1","4","","","","","","","","","","27","","1","","0","","","","","","","","","","","hutcw101","browl107","","","","","","","","","19420814","0","CAN03","CCB","W","regular","","1942"
"CCB194208140","MEM","3","3","1","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","upper","","8","10","","","","","","","","","","","","","","","27","","","8","","","1","4","","","","","","","","","","27","","1","","0","","","","","","","","","","","hutcw101","browl107","","","","","","","","","19420814","0","CAN03","CCB","W","regular","","1942"
"NY5194208160","MEM","0","1","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","9","value","38","2","9","1","0","0","2","0","1","0","2","","","2","","","0","30","","39","5","0","0","1","2","2","8","","3","0","0","0","0","","30","19","1","0","0","0","mcdaf101","bradb107","hydec101","taylj106","robin101","segrs101","hutcw101","browl107","evanf101","evanf101","browl107","taylj106","segrs101","mcdaf101","robin101","bradb107","hutcw101","hydec101","","19420816","0","NYC16","NY5","T","exhibition","y","1942"
"NY5194208160","MEM","0","1","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","9","lower","38","2","9","1","0","0","2","0","1","0","1","","","2","","","0","30","","32","5","0","0","1","2","2","8","","3","0","0","0","0","","30","19","1","0","0","0","mcdaf101","bradb107","hydec101","taylj106","robin101","segrs101","hutcw101","browl107","evanf101","evanf101","browl107","taylj106","segrs101","mcdaf101","robin101","bradb107","hutcw101","hydec101","","19420816","0","NYC16","NY5","T","exhibition","y","1942"
"NY5194208160","MEM","0","1","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","9","upper","38","2","9","1","0","0","2","0","1","0","2","","","2","","","0","30","","39","5","0","0","1","2","2","8","","3","0","0","0","0","","30","19","1","0","0","0","mcdaf101","bradb107","hydec101","taylj106","robin101","segrs101","hutcw101","browl107","evanf101","evanf101","browl107","taylj106","segrs101","mcdaf101","robin101","bradb107","hutcw101","hydec101","","19420816","0","NYC16","NY5","T","exhibition","y","1942"
"PH5194208200","MEM","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","value","","7","","","","","","","","","","","","","","","","24","","","","","","","14","","","","","","","","","","24","","0","","0","","","","","","","","","","","","","","","","","","","","","19420820","0","PHI17","PH5","L","exhibition","","1942"
