id1,relation,id2
kunkb101,Father,kunkj001
laboc101,Cousin,manga101
laboc101,Cousin,mangp101
lachm101,Brother,lachb801
lachm101,Brother,lachr101
lachr101,Brother,lachb801
lairg001,Brother,lairb001
lambj003,Brother,lambp001
landj101,Father,landb001
langb102,Uncle,kellg101
langb102,Uncle,kellr102
langc101,Brother-in-Law,walkt103
langc101,Uncle,walkn001
lanim101,Father,lanih101
lannj101,Brother,lannt101
lansc001,Brother,lansj101
larkb001,Brother,larks001
laroa001,Brother,laroa002
larod101,Father,laroa001
larod101,Father,laroa002
larya101,Brother,laryf101
lawtm001,Brother,lawtm002
law-v101,Father,law-v001
laxtb101,Father,laxtb001
lee-l101,Uncle,lee-d002
lee-t101,Father,lee-d102
leflr101,Cousin,stevt001
leibc001,Father,leibb001
leita001,Brother,leitm001
leita001,Father,leitj001
leita001,Uncle,leitm002
leitm001,Father,leitm002
leitm001,Uncle,leitj001
leitm002,Cousin,leitj001
lelij101,Brother,lelib101
lemad103,Step Father,holmb001
lemad103,Step Father,holmb002
leonb101,Brother,leonc101
leond103,Father-in-Law,klipj101
lercd101,Cousin,lercg101
lezcc101,Cousin,lezcs001
liebg101,Father,liebg102
lillg101,Brother,lillb102
lindf101,Father,lindc102
littb001,Brother,littg801
livej101,Father,liveb101
lobef101,Brother,lobeh101
lolim101,Cousin,lolir101
lombs001,Father,lombs002
lookb101,Brother,lookd101
loopb001,Cousin,loopa001
lopec001,Brother,lopet001
lowdg101,Brother,lowdl101
lowej002,Brother,lowen001
ludwe001,Brother,ludwr001
lugoj001,Brother,lugor002
lushe101,Brother,lushb101
lyonb101,Brother,lyonj101
machk101,Cousin,newhh101
machm101,Cousin,newhh101
mackc101,Father,macke101
macks001,Brother,mackq001
maddg002,Brother,maddm002
madje101,Uncle,ryanj001
magad001,Cousin,pinil001
maggh102,Father,maggh101
mahlg001,Brother,mahlt001
mahlm001,Brother,mahlr001
mainw101,Father,mainj101
maisc101,Cousin,maisf101
maisc101,Cousin,maisg101
maisf101,Brother,maisg101
malac101,Father,malaj101
maloj901,Father,malol101
malom101,Brother-in-Law,swanm101
mancg101,Brother,mancf101
manga101,Brother,mangp101
mansj101,Brother,mansm101
mansj101,Brother,manst101
mansm101,Brother,manst101
manuf101,Brother,manuh101
manuj101,Father-in-Law,whitr001
manzr001,Brother,manzj001
marco101,Father,marcz101
marij101,Cousin,acevj002
marij101,Father-in-Law,rijoj001
marir102,Brother,marim101
marrc001,Brother,marrc801
marrc001,Cousin,marrd001
marrc801,Cousin,marrd001
marre001,Uncle,marrc001
marre001,Uncle,marrd001
marta002,Father,marta008
martb104,Father,martj001
martc001,Cousin,marte001
martc002,Father,martj008
martr002,Brother,martp001
mashc101,Father,mashd001
mashc101,Father,mashj801
mashd001,Brother,mashj801
maskh101,Brother,maskl101
mathc102,Brother,mathh101
mathn101,Father,matht002
maton001,Brother,matop002
mattc102,Brother,mattj101
mattg001,Father,mattg002
mattw101,Father,mattb101
maucg101,Uncle,smalr001
maybj101,Father,maybj001
may-c101,Brother,may-l101
may-c101,Great Uncle,may-j001
may-d101,Father,may-d001
mayee101,Brother,mayes101
may-l101,Grandfather,may-j001
may-p101,Father,may-m001
